date_key,full_date,day_of_week,day_name,is_weekend,week_of_year,month_number,month_name,quarter,year,fiscal_year,fiscal_quarter,season,is_holiday,holiday_name
20210927,2021-09-27,1,Monday,False,39,9,September,3,2021,2021,FQ3,Autumn,False,
20210928,2021-09-28,2,Tuesday,False,39,9,September,3,2021,2021,FQ3,Autumn,False,
20210929,2021-09-29,3,Wednesday,False,39,9,September,3,2021,2021,FQ3,Autumn,False,
20210930,2021-09-30,4,Thursday,False,39,9,September,3,2021,2021,FQ3,Autumn,False,
20211001,2021-10-01,5,Friday,False,39,10,October,4,2021,2021,FQ3,Autumn,False,
20211002,2021-10-02,6,Saturday,True,39,10,October,4,2021,2021,FQ3,Autumn,False,
20211003,2021-10-03,7,Sunday,True,39,10,October,4,2021,2021,FQ3,Autumn,False,
20211004,2021-10-04,1,Monday,False,40,10,October,4,2021,2021,FQ3,Autumn,False,
20211005,2021-10-05,2,Tuesday,False,40,10,October,4,2021,2021,FQ3,Autumn,False,
20211006,2021-10-06,3,Wednesday,False,40,10,October,4,2021,2021,FQ3,Autumn,False,
20211007,2021-10-07,4,Thursday,False,40,10,October,4,2021,2021,FQ3,Autumn,False,
20211008,2021-10-08,5,Friday,False,40,10,October,4,2021,2021,FQ3,Autumn,False,
20211009,2021-10-09,6,Saturday,True,40,10,October,4,2021,2021,FQ3,Autumn,False,
20211010,2021-10-10,7,Sunday,True,40,10,October,4,2021,2021,FQ3,Autumn,False,
20211011,2021-10-11,1,Monday,False,41,10,October,4,2021,2021,FQ3,Autumn,False,
20211012,2021-10-12,2,Tuesday,False,41,10,October,4,2021,2021,FQ3,Autumn,False,
20211013,2021-10-13,3,Wednesday,False,41,10,October,4,2021,2021,FQ3,Autumn,False,
20211014,2021-10-14,4,Thursday,False,41,10,October,4,2021,2021,FQ3,Autumn,False,
20211015,2021-10-15,5,Friday,False,41,10,October,4,2021,2021,FQ3,Autumn,False,
20211016,2021-10-16,6,Saturday,True,41,10,October,4,2021,2021,FQ3,Autumn,False,
20211017,2021-10-17,7,Sunday,True,41,10,October,4,2021,2021,FQ3,Autumn,False,
20211018,2021-10-18,1,Monday,False,42,10,October,4,2021,2021,FQ3,Autumn,False,
20211019,2021-10-19,2,Tuesday,False,42,10,October,4,2021,2021,FQ3,Autumn,False,
20211020,2021-10-20,3,Wednesday,False,42,10,October,4,2021,2021,FQ3,Autumn,False,
20211021,2021-10-21,4,Thursday,False,42,10,October,4,2021,2021,FQ3,Autumn,False,
